12. July 2015 | 03:12:11 | - HealthHack = 1
12. July 2015 | 03:12:11 | - ArmourHack = 1
12. July 2015 | 03:12:11 | - DriveBy = 2
12. July 2015 | 03:12:11 | - Spam = 1
12. July 2015 | 03:12:11 | - CommandSpam = 1
12. July 2015 | 03:12:11 | - BadWords = 1
12. July 2015 | 03:12:11 | - CarJackHack = 1
12. July 2015 | 03:12:11 | - TeleportHack = 1
12. July 2015 | 03:12:11 | - MaxPing = 500
12. July 2015 | 03:12:11 | - SpectateHack = 1
12. July 2015 | 03:12:11 | - Blacklist = 1
12. July 2015 | 03:12:11 | - IpBans = 1
12. July 2015 | 03:12:11 | - TempBans = 1
12. July 2015 | 03:12:11 | - SpawnKill = 3
12. July 2015 | 03:12:11 | - CapsLock = 1
12. July 2015 | 03:12:11 | - 3DSpeed = 0
12. July 2015 | 03:12:11 | - MaxSpeed = 230
12. July 2015 | 03:12:11 | - AdminImmunity = 1
12. July 2015 | 03:12:11 | - Advertisement = 0
12. July 2015 | 03:12:11 | - FreezeUpdate = 0
12. July 2015 | 03:12:11 | - SpawnTime = 10
12. July 2015 | 03:12:11 | - CheckpointTeleport = 1
12. July 2015 | 03:12:11 | - Airbreak = 1
12. July 2015 | 03:12:11 | - TankMode = 1
12. July 2015 | 03:12:11 | - WarnPlayers = 0
12. July 2015 | 03:12:11 | - SingleplayerCheats = 1
12. July 2015 | 03:12:11 | - MinFPS = 13
12. July 2015 | 03:12:11 | - DisableBadWeapons = 1
12. July 2015 | 03:12:11 | - CBug = 16
12. July 2015 | 03:12:11 | - AntiBugKill = 1
12. July 2015 | 03:12:11 | - NoReload = 20
12. July 2015 | 03:12:11 | - NoReloadForSawnOff = 4
12. July 2015 | 03:12:11 | - ActiveGMC = 2
12. July 2015 | 03:12:11 | - GMCBan = 0
12. July 2015 | 03:12:11 | - ServerSideHealth = 1
12. July 2015 | 03:12:11 | - CheckVMPos = 0
12. July 2015 | 03:12:11 | - QuickTurn = 1
12. July 2015 | 03:12:11 | 1 IP-bans have been loaded.
12. July 2015 | 03:12:11 | 0 temporary bans have been loaded.
12. July 2015 | 03:12:11 | 5 whitelist entries have been loaded.
12. July 2015 | 03:12:11 | 4 blacklist entries have been loaded.
12. July 2015 | 03:12:11 | 41 bad words have been loaded.
12. July 2015 | 03:12:11 | 4 forbidden weapons have been loaded.
12. July 2015 | 03:12:11 | JunkBuster has been configurated.
12. July 2015 | 03:12:11 | JunkBuster has successfully been loaded.
12. July 2015 | 03:12:55 | [D]EXTER_[K]ILL (127.0.0.1) has been kicked for Using weapon cheats (Desert Eagle).
12. July 2015 | 03:14:40 | Resetting player classes.
12. July 2015 | 03:14:42 | Current JunkBuster configuration:
12. July 2015 | 03:14:42 | - WeaponHack = 1
12. July 2015 | 03:14:42 | - MoneyHack = 1
12. July 2015 | 03:14:42 | - Jetpack = 1
12. July 2015 | 03:14:42 | - HealthHack = 1
12. July 2015 | 03:14:42 | - ArmourHack = 1
12. July 2015 | 03:14:42 | - DriveBy = 2
12. July 2015 | 03:14:42 | - Spam = 1
12. July 2015 | 03:14:42 | - CommandSpam = 1
12. July 2015 | 03:14:42 | - BadWords = 1
12. July 2015 | 03:14:42 | - CarJackHack = 1
12. July 2015 | 03:14:42 | - TeleportHack = 1
12. July 2015 | 03:14:42 | - MaxPing = 500
12. July 2015 | 03:14:42 | - SpectateHack = 1
12. July 2015 | 03:14:42 | - Blacklist = 1
12. July 2015 | 03:14:42 | - IpBans = 1
12. July 2015 | 03:14:42 | - TempBans = 1
12. July 2015 | 03:14:42 | - SpawnKill = 3
12. July 2015 | 03:14:42 | - CapsLock = 1
12. July 2015 | 03:14:42 | - 3DSpeed = 0
12. July 2015 | 03:14:42 | - MaxSpeed = 230
12. July 2015 | 03:14:42 | - AdminImmunity = 1
12. July 2015 | 03:14:42 | - Advertisement = 0
12. July 2015 | 03:14:42 | - FreezeUpdate = 0
12. July 2015 | 03:14:42 | - SpawnTime = 10
12. July 2015 | 03:14:42 | - CheckpointTeleport = 1
12. July 2015 | 03:14:42 | - Airbreak = 1
12. July 2015 | 03:14:42 | - TankMode = 1
12. July 2015 | 03:14:42 | - WarnPlayers = 0
12. July 2015 | 03:14:42 | - SingleplayerCheats = 1
12. July 2015 | 03:14:42 | - MinFPS = 13
12. July 2015 | 03:14:42 | - DisableBadWeapons = 1
12. July 2015 | 03:14:42 | - CBug = 16
12. July 2015 | 03:14:42 | - AntiBugKill = 1
12. July 2015 | 03:14:42 | - NoReload = 20
12. July 2015 | 03:14:42 | - NoReloadForSawnOff = 4
12. July 2015 | 03:14:42 | - ActiveGMC = 2
12. July 2015 | 03:14:42 | - GMCBan = 0
12. July 2015 | 03:14:42 | - ServerSideHealth = 1
12. July 2015 | 03:14:42 | - CheckVMPos = 0
12. July 2015 | 03:14:42 | - QuickTurn = 1
12. July 2015 | 03:14:42 | 1 IP-bans have been loaded.
12. July 2015 | 03:14:42 | 0 temporary bans have been loaded.
12. July 2015 | 03:14:42 | 5 whitelist entries have been loaded.
12. July 2015 | 03:14:42 | 4 blacklist entries have been loaded.
12. July 2015 | 03:14:42 | 41 bad words have been loaded.
12. July 2015 | 03:14:42 | 4 forbidden weapons have been loaded.
12. July 2015 | 03:14:42 | JunkBuster has been configurated.
12. July 2015 | 03:14:42 | JunkBuster has successfully been loaded.
12. July 2015 | 03:15:20 | Resetting player classes.
